id,category,level,kana,phrase,phrase_en,answer,group,explanation
3,大ピンチずかん,77,え,エスカレーターが　ぎゃくだった,The escalator was going the opposite way.,-,kids,-
4,大ピンチずかん,20,あ,アイスが　とけてきた,The ice cream started melting.,-,kids,-
5,大ピンチずかん,4,へ,へんな　ひやけを　した,Made a strange face.,-,kids,-
6,大ピンチずかん,30,た,たんじょうびケーキが　たおれて　イチゴが　ころがった,The birthday cake fell over and the strawberries rolled away.,-,kids,-
7,大ピンチずかん,23,ご,ごはんつぶを　ふんだ,Stepped on a grain of rice.,-,kids,-
8,大ピンチずかん,21,お,おふろの　ごみが　すくえない,Can't scoop the debris out of the bathtub.,-,kids,-
9,大ピンチずかん,18,ふ,ふたが　ない,There is no lid.,-,kids,-
10,大ピンチずかん,6,て,テープの　はしが　みつからない,Can't find the end of the tape.,-,kids,-
11,大ピンチずかん,28,え,えだまめが　とんだ,The edamame flew away.,-,kids,-
12,大ピンチずかん,24,か,カップめんの　おゆが　たりない,Not enough hot water for the cup noodles.,-,kids,-
13,大ピンチずかん,68,う,うんてんしている　くるまのなかに　クモが　でてきた,There is a big spider in the car while driving.,-,kids,-
14,大ピンチずかん,35,ゆ,ゆでたまごが　ボロボロ,The boiled egg is falling apart.,-,kids,-
15,大ピンチずかん,5,す,ストローが　とれない,Can't take out the straw.,-,kids,-
16,大ピンチずかん,27,う,「う」の　もじが　はんたいだった,The letter 'u' was backwards.,-,kids,-
17,大ピンチずかん,19,け,おちたけしゴムがみつからない,Can't find the dropped eraser.,-,kids,-
18,大ピンチずかん,17,し,しょうゆをいれすぎた,Poured too much soy sauce.,-,kids,-
19,大ピンチずかん,34,し,シャワーがみつからない,Can't find the shower.,-,kids,-
20,大ピンチずかん,3,こ,こおりがしたにくっついた,The ice stuck to my tongue.,-,kids,-
21,大ピンチずかん,26,た,たんじょうびケーキがたおれそう,The birthday cake is about to fall.,-,kids,-
22,大ピンチずかん,22,じ,じゅうでんができていなかった,It wasn't charged.,-,kids,-
23,大ピンチずかん,14,し,シャボンえきをすった,Accidentally inhaled the bubble solution.,-,kids,-
24,大ピンチずかん,33,け,ケチャップがとんだ,Ketchup splattered.,-,kids,-
25,大ピンチずかん,31,ぽ,ポケットからすながたくさんでてきた,A lot of sand came out of the pocket.,-,kids,-
26,大ピンチずかん,25,せ,せんたくきのうしろにくつしたがおちた,A sock fell behind the washing machine.,-,kids,-
27,大ピンチずかん,90,ふ,フンをふんだ,Stepped on poop.,-,kids,-
28,大ピンチずかん,55,い,いおうとしていたことをわすれた,Forgot what I was about to say.,-,kids,-
